contact_id,started_at,channel,queue,agent_id,wait_seconds,handle_seconds,outcome,customer_message,customer_rating,priority
CN-5164-CT-0018,2026-07-05 21:56:00+00:00,email,technical,A002,191.0,568.0,transferred,I think this transaction is fraud,3.0,High
CN-5164-CT-0176,2026-07-07 08:45:00+00:00,email,billing,A011,207.0,739.0,resolved,I want to know the current plan,5.0,High
CN-5164-CT-0125,2026-07-08 13:06:00+00:00,chat,technical,A004,46.0,0.0,abandoned,Need help with my account,2.0,High
CN-5164-CT-0165,2026-07-06 10:36:00+00:00,email,support,A012,,858.0,unresolved,Please process a refund,,High
CN-5164-CT-0030,2026-07-08 05:51:00+00:00,voice,sales,A009,81.0,894.0,unresolved,Please explain the latest invoice,,Medium
CN-5164-CT-0040,2026-07-08 22:39:00+00:00,voice,sales,A003,146.0,186.0,resolved,Question about a new subscription,,Medium
CN-5164-CT-0025,2026-07-05 22:48:00+00:00,chat,technical,A011,183.0,269.0,resolved,,,High
CN-5164-CT-0146,2026-07-08 21:55:00+00:00,chat,billing,A003,174.0,450.0,resolved,The issue is now resolved,2.0,Medium
CN-5164-CT-0082,2026-07-08 01:09:00+00:00,chat,sales,A005,111.0,410.0,resolved,Unable to reset my password,,Medium
CN-5164-CT-0074,2026-07-02 01:35:00+00:00,voice,retention,A012,190.0,242.0,resolved,The previous agent transferred me,,High
CN-5164-CT-0100,2026-07-02 16:50:00+00:00,email,sales,A006,154.0,603.0,unresolved,Question about a new subscription,3.0,Medium
CN-5164-CT-0010,2026-07-06 22:57:00+00:00,voice,support,unassigned,94.0,11.0,unresolved,I was charged twice for the same order,,High
CN-5164-CT-0060,2026-07-01 10:35:00+00:00,chat,sales,A003,185.0,181.0,abandoned,Please explain the latest invoice,2.0,High
CN-5164-CT-0028,2026-07-07 16:28:00+00:00,chat,sales,A005,7.0,,transferred,The application is not loading,4.0,Medium
CN-5164-CT-0180,2026-07-05 23:44:00+00:00,email,support,A010,30.0,751.0,unresolved,The previous agent transferred me,3.0,Low
CN-5164-CT-0031,2026-07-06 14:06:00+00:00,voice,retention,A008,61.0,287.0,resolved,Please call me back,2.0,Medium
CN-5164-CT-0119,2026-07-07 05:12:00+00:00,unknown,sales,A011,168.0,427.0,transferred,The issue is now resolved,4.0,Medium
CN-5164-CT-0104,2026-07-08 23:15:00+00:00,unknown,support,A008,,138.0,transferred,Please explain the latest invoice,5.0,Medium
CN-5164-CT-0058,2026-07-06 08:58:00+00:00,voice,retention,A009,61.0,0.0,abandoned,Please explain the latest invoice,3.0,High
CN-5164-CT-0095,2026-07-03 05:36:00+00:00,unknown,support,A002,81.0,436.0,unresolved,Question about a new subscription,5.0,Medium
CN-5164-CT-0159,2026-07-03 23:20:00+00:00,voice,billing,A011,172.0,246.0,resolved,Please call me back,4.0,Medium
CN-5164-CT-0116,2026-07-06 01:52:00+00:00,voice,technical,A008,130.0,527.0,transferred,,4.0,Medium
CN-5164-CT-0088,2026-07-08 22:33:00+00:00,email,support,A007,183.0,855.0,transferred,I want to know the current plan,5.0,High
CN-5164-CT-0164,2026-07-06 14:05:00+00:00,email,sales,A006,,,unresolved,I was charged twice for the same order,1.0,High
CN-5164-CT-0136,2026-07-08 06:33:00+00:00,unknown,retention,A012,91.0,672.0,resolved,I think this transaction is fraud,,High
CN-5164-CT-0077,2026-07-08 06:39:00+00:00,email,sales,A007,93.0,613.0,resolved,Unable to reset my password,,Medium
CN-5164-CT-0024,2026-07-02 11:32:00+00:00,email,technical,A001,33.0,289.0,unresolved,Need help with my account,4.0,Low
CN-5164-CT-0070,2026-07-04 22:02:00+00:00,chat,unassigned,A007,162.0,147.0,resolved,Need help with my account,4.0,Medium
CN-5164-CT-0129,2026-07-04 04:52:00+00:00,unknown,technical,A011,217.0,445.0,unresolved,The previous agent transferred me,3.0,High
